item,valence,interpersonal,category,subcategory,event
1,negative,yes,friends,personal qualities,You find out that someone you consider a friend has talked about you negatively behind your back
2,positive,yes,colleagues,reaching out,Someone from work invites you out for a cup of coffee
3,negative,yes,friends,reaching out,You message your friend to ask for advice but they don't reply
4,negative,no,general functioning (everyday life: harder task),life activities,You return from the shops without something important from your shopping list
5,negative,yes,colleagues,personal qualities,You ask a colleague to write you a reference but they say no
6,negative,no,general functioning (everyday life: harder task),getting along (semi-social),You'd like to be more engaged in your local community
7,positive,yes,friends,reaching out,You message a friend something silly and they reply straight away
8,negative,yes,contemporaries (not known well),feedback/responsibility,Your suggestion for a community social event receives the lowest number of votes
9,positive,no,formal assessment (job),non-social,"You receive anonymised feedback on your work performance by colleagues, and it's very complimentary"
10,positive,no,general functioning (everyday life: harder task),life activities,You try a complicated new recipe and it turns out great
11,positive,yes,contemporaries (not known well),reaching out,Someone you were at school with reaches out to ask how you are doing
12,positive,no,formal assessment (academic),semi-social,"You take part in a quiz at work and get lots of answers right, so your team wins"
13,negative,no,general functioning (everyday life: harder task),cognitive; life activities,You start fill out some paperwork for your bank but don't finish
14,negative,yes,close relationship,reaching out,Someone you feel very close to is having a birthday dinner but hasn't invited you
15,positive,no,general functioning (everyday life: easier task),self-care,You sort through a large basket of clothes that need to be washed
16,positive,no,general performance (job),non-social,You find out that your manager wants to put you forward for promotion at work
17,negative,no,general performance (academic),semi-social,A colleague asks everyone at work except you to help them review a job application form
18,negative,yes,contemporaries (not known well),reaching out,"You smile at someone across the street you recognise, but they don't smile back"
19,negative,no,general performance (job),non-social,You didn't get the amount of work done you needed to
20,positive,no,general functioning (everyday life: easier task),getting along (semi-social),"You ask for help finding something in a shop, and manage to get what you need straight away"
21,negative,yes,close relationship,personal qualities,"You tell someone you are close to you that you admire them, but they don't tell you the same back"
22,positive,no,general performance (academic),semi-social,"Your neighbour asks you to help them with their maths homework, and you do a good job explaining the problems to them"
23,negative,yes,colleagues,reaching out,You walk past a cafe close to work and see your some of your colleagues are meeting for lunch without you
24,negative,no,formal assessment (academic),semi-social,You and your friends do a general knowledge quiz and you get the lowest score
25,positive,yes,friends,personal qualities,A friend tells you you make them laugh
26,negative,no,general functioning (everyday life: easier task),self-care,You start doing the washing up but drop and smash a plate
27,positive,yes,close relationship,reaching out,Someone you care deeply about rings you up out of the blue to chat
28,positive,no,general functioning (everyday life: harder task),cognitive; life activities,"You have to fill in some long and boring paperwork, but manage to get it all done"
29,positive,yes,contemporaries (not known well),feedback/responsibility,You speak during a neighbourhood association meeting and receive applause
30,positive,yes,colleagues,personal qualities,A colleague tells you they like your company
31,negative,no,formal assessment (job),non-social,You don't manage to finish everything you need to do for an important work deadline
32,positive,yes,close relationship,personal qualities,Someone you are close to tells you that they admire you
33,positive,yes,friends,personal qualities,A friend tells you speaking with you always makes them feel better
34,positive,yes,contemporaries (not known well),reaching out,Someone you met at an evening class suggests getting together for coffee
35,negative,yes,friends,reaching out,You see a friend on the street but they appear to ignore you
36,positive,no,general performance (academic),non-social,You complete today's crossword easily
37,negative,yes,friends,personal qualities,You overhear a friend telling someone that you can't be trusted
38,negative,no,formal assessment (academic),semi-social,You struggle to work out what everyone needs to pay when booking a work activity
39,positive,yes,contemporaries (not known well),feedback/responsibility,You are asked to organise a social event for your local community
40,positive,no,formal assessment (job),non-social,You find out that you have been put forward for a leadership position at work
41,positive,no,formal assessment (academic),semi-social,"A colleague asks for your help writing a job application, since you write well"
42,negative,no,general functioning (everyday life: easier task),getting along (semi-social),You submited an application to join a local community forum but haven't heard anything back
43,positive,no,general functioning (everyday life: easier task),self-care,You get through a whole sink full of washing up
44,positive,yes,close relationship,reaching out,Someone you are close to has sent you a card thanking you for being there for them during a difficult time
45,negative,yes,colleagues,reaching out,You discover that you haven't been invited to an after-work social event
46,negative,yes,contemporaries (not known well),feedback/responsibility,You present your work to the rest of your evening class but it doesn't receive much positive feedback
47,negative,no,general performance (academic),non-social,You submit a piece of writing to a competition but it is rejected
48,negative,yes,close relationship,personal qualities,Someone you are close to tells you you are not funny
49,positive,no,general functioning (everyday life: easier task),getting along (semi-social),You pick up a few things you need to make dinner
