"","uid","itemNo","valence","internal_node_id","trial_type","chosen_attr","stimulus","nTimeouts","chosen_attr_type","time_elapsed","rt","response","trial_index","timedout","taskNo","trialNo","condition","totalTimeJsPsych","intStartTime","intEndTime","nTrials","ID","interpersonal","category","subcategory","event","internalChosen","globalChosen","internalGlobalChosen","internalSpecificChosen","externalGlobalChosen","externalSpecificChosen"
"1","subCA1_1",0,"negative","0.0-2.0-0.0-0.0","html-button-response-ca","I probably did something recently to annoy them","You find out that someone you consider a friend has talked about you negatively behind your back",0,"internal_specific",120502,19336,1,3,FALSE,0,0,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","friends","personal qualities","You find out that someone you consider a friend has talked about you negatively behind your back",1,0,0,1,0,0
"2","subCA1_1",1,"positive","0.0-2.0-0.1-0.1","html-button-response-ca","People at work generally reach out from time to time","Someone from work invites you out for a cup of coffee",0,"external_global",132687,10676,1,4,FALSE,0,1,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","colleagues","reaching out","Someone from work invites you out for a cup of coffee",0,1,0,0,1,0
"3","subCA1_1",18,"negative","0.0-2.0-0.10-0.10","html-button-response-ca","I'm disorganised and inefficient","You didn't get the amount of work done you needed to",0,"internal_global",262978,12944,1,13,FALSE,0,10,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"no","general performance (job)","non-social","You didn't get the amount of work done you needed to",1,1,1,0,0,0
"4","subCA1_1",22,"negative","0.0-2.0-0.11-0.11","html-button-response-ca","I haven't really made an effort to talk to my colleagues recently","You walk past a cafe close to work and see your some of your colleagues are meeting for lunch without you",0,"internal_specific",278906,14420,2,14,FALSE,0,11,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","colleagues","reaching out","You walk past a cafe close to work and see your some of your colleagues are meeting for lunch without you",1,0,0,1,0,0
"5","subCA1_1",24,"positive","0.0-2.0-0.12-0.12","html-button-response-ca","This particular friend happens to have a similar sense of humour to me","A friend tells you you make them laugh",0,"external_specific",293896,13486,1,15,FALSE,0,12,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","friends","personal qualities","A friend tells you you make them laugh",0,0,0,0,0,1
"6","subCA1_1",32,"positive","0.0-2.0-0.13-0.13","html-button-response-ca","I'm the kind of friend people value","A friend tells you speaking with you always makes them feel better",0,"internal_global",303054,7644,1,16,FALSE,0,13,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","friends","personal qualities","A friend tells you speaking with you always makes them feel better",1,1,1,0,0,0
"7","subCA1_1",39,"positive","0.0-2.0-0.14-0.14","html-button-response-ca","Recently, I've been performing well in my job","You find out that you have been put forward for a leadership position at work",0,"internal_specific",324741,20183,2,17,FALSE,0,14,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"no","formal assessment (job)","non-social","You find out that you have been put forward for a leadership position at work",1,0,0,1,0,0
"8","subCA1_1",41,"negative","0.0-2.0-0.15-0.15","html-button-response-ca","I probably submitted my application incorrectly somehow","You submited an application to join a local community forum but haven't heard anything back",0,"internal_specific",353897,27653,1,18,FALSE,0,15,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"no","general functioning (everyday life: easier task)","getting along (semi-social)","You submited an application to join a local community forum but haven't heard anything back",1,0,0,1,0,0
"9","subCA1_1",43,"positive","0.0-2.0-0.16-0.16","html-button-response-ca","I'm a good friend and people appreciate that","Someone you are close to has sent you a card thanking you for being there for them during a difficult time",0,"internal_global",364158,6812,3,20,FALSE,0,16,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","close relationship","reaching out","Someone you are close to has sent you a card thanking you for being there for them during a difficult time",1,1,1,0,0,0
"10","subCA1_1",54,"positive","0.0-2.0-0.17-0.17","html-button-response-ca","On this particular occasion, I did a good job","You find out someone has contacted your employer to praise work you did for them",0,"internal_specific",388579,22913,0,21,FALSE,0,17,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"no","general performance (job)","semi-social","You find out someone has contacted your employer to praise work you did for them",1,0,0,1,0,0
"11","subCA1_1",62,"positive","0.0-2.0-0.18-0.18","html-button-response-ca","I've been making a particular effort recently to spend time learning new things","You successfully practice saying some phrases of a new language you are trying to learn",0,"internal_specific",396688,6606,0,22,FALSE,0,18,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"no","general functioning (everyday life: harder task)","life activities","You practice saying some phrases of a new language you are trying to learn",1,0,0,1,0,0
"12","subCA1_1",68,"positive","0.0-2.0-0.19-0.19","html-button-response-ca","I have been helping this person out with something private recently","Someone you are close to tells you they trust you",0,"internal_specific",414015,15824,2,23,FALSE,0,19,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","close relationship","personal qualities","Someone you are close to tells you they trust you",1,0,0,1,0,0
"13","subCA1_1",2,"negative","0.0-2.0-0.2-0.2","html-button-response-ca","My friend is probably just too busy to respond right now","You message your friend to ask for advice but they don't reply",0,"external_specific",140264,6072,2,5,FALSE,0,2,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","friends","reaching out","You message your friend to ask for advice but they don't reply",0,0,0,0,0,1
"14","subCA1_1",72,"negative","0.0-2.0-0.20-0.20","html-button-response-ca","People are often not interested in what other people have to say at meetings","You speak during a community meeting but feel like people aren't interested in what you have to say",0,"external_global",422332,6813,2,24,FALSE,0,20,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","contemporaries (not known well)","feedback/responsibility","You speak during a community meeting but feel like people aren't interested in what you have to say",0,1,0,0,1,0
"15","subCA1_1",74,"negative","0.0-2.0-0.21-0.21","html-button-response-ca","On this occasion, I wasn't paying enough attention","You washed your clothes on the wrong setting and the colours have run",0,"internal_specific",429857,6022,1,25,FALSE,0,21,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"no","general functioning (everyday life: easier task)","self-care","You washed your clothes on the wrong setting and the colours have run",1,0,0,1,0,0
"16","subCA1_1",79,"negative","0.0-2.0-0.22-0.22","html-button-response-ca","My friend was probably busy that day thinking about something else","You see a very close friend and wave at them but they don't wave back",0,"external_specific",439615,8254,2,26,FALSE,0,22,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","close relationship","reaching out","You see a very close friend and wave at them but they don't wave back",0,0,0,0,0,1
"17","subCA1_1",93,"positive","0.0-2.0-0.23-0.23","html-button-response-ca","For this piece of work, I probably tried particularly hard","A colleague comments on the high quality of your recent work",0,"internal_specific",447045,5926,0,27,FALSE,0,23,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"no","general performance (job)","semi-social","A colleague comments on the high quality of your recent work",1,0,0,1,0,0
"18","subCA1_1",99,"negative","0.0-2.0-0.24-0.24","html-button-response-ca","Recently, I haven't been involved much in community events","You want to be nominated for a role in your local community group but no one suggests you",0,"internal_specific",455661,7112,1,28,FALSE,0,24,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","contemporaries (not known well)","feedback/responsibility","You want to be nominated for a role in your local community group but no one suggests you",1,0,0,1,0,0
"19","subCA1_1",101,"positive","0.0-2.0-0.25-0.25","html-button-response-ca","I'm the sort of person people like to have on their team","Someone from work tells you they would like to be on your team for a work social event",0,"internal_global",468660,11496,1,29,FALSE,0,25,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","colleagues","reaching out","Someone from work tells you they would like to be on your team for a work social event",1,1,1,0,0,0
"20","subCA1_1",104,"positive","0.0-2.0-0.26-0.26","html-button-response-ca","It's not uncommon for people to do nice things for their friends","Someone you care about takes time out of their busy day to check in on you ",0,"external_global",479245,9082,2,30,FALSE,0,26,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"yes","close relationship","reaching out","Someone you care about takes time out of their busy day to check in on you",0,1,0,0,1,0
"21","subCA1_1",105,"negative","0.0-2.0-0.27-0.27","html-button-response-ca","On this occasion, I let myself be distracted by something unimportant","You forget you put dinner in the oven and it burns",0,"internal_specific",488079,7332,1,31,FALSE,0,27,"psychoed",2189335,1634242.8,2034667.40000001,64,1,"no","general functioning (everyday life: easier task)","self-care","You forget you put dinner in the oven and it burns",1,0,0,1,0,0
