"","uid","itemNo","valence","chosen_attr_type","internal_node_id","rt","trial_type","nTimeouts","time_elapsed","chosen_attr","timedout","trial_index","response","stimulus","taskNo","trialNo","condition","totalTimeJsPsych","intStartTime","intEndTime","nTrials","ID","interpersonal","category","subcategory","event","internalChosen","globalChosen","internalGlobalChosen","internalSpecificChosen","externalGlobalChosen","externalSpecificChosen"
"1","subCA2_1",0,"negative","external_specific","0.0-2.0-0.0-0.0",15632,"html-button-response-ca",0,193919,"My friend was probably just in a bad mood and letting off steam",FALSE,3,2,"You find out that someone you consider a friend has talked about you negatively behind your back",0,0,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","friends","personal qualities","You find out that someone you consider a friend has talked about you negatively behind your back",0,0,0,0,0,1
"2","subCA2_1",1,"positive","external_global","0.0-2.0-0.1-0.1",15738,"html-button-response-ca",0,211186,"People at work generally reach out from time to time",FALSE,4,0,"Someone from work invites you out for a cup of coffee",0,1,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","colleagues","reaching out","Someone from work invites you out for a cup of coffee",0,1,0,0,1,0
"3","subCA2_1",18,"negative","external_specific","0.0-2.0-0.10-0.10",15310,"html-button-response-ca",0,358219,"Just now, there are probably more important things going on",FALSE,13,1,"You didn't get the amount of work done you needed to",0,10,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general performance (job)","non-social","You didn't get the amount of work done you needed to",0,0,0,0,0,1
"4","subCA2_1",22,"negative","external_global","0.0-2.0-0.11-0.11",15787,"html-button-response-ca",0,375537,"People don't always remember to include everyone they mean to invite to something",FALSE,14,1,"You walk past a cafe close to work and see your some of your colleagues are meeting for lunch without you",0,11,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","colleagues","reaching out","You walk past a cafe close to work and see your some of your colleagues are meeting for lunch without you",0,1,0,0,1,0
"5","subCA2_1",24,"positive","external_specific","0.0-2.0-0.12-0.12",14509,"html-button-response-ca",0,391577,"This particular friend happens to have a similar sense of humour to me",FALSE,15,2,"A friend tells you you make them laugh",0,12,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","friends","personal qualities","A friend tells you you make them laugh",0,0,0,0,0,1
"6","subCA2_1",32,"positive","internal_global","0.0-2.0-0.13-0.13",17619,"html-button-response-ca",0,410724,"I'm the kind of friend people value",FALSE,16,1,"A friend tells you speaking with you always makes them feel better",0,13,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","friends","personal qualities","A friend tells you speaking with you always makes them feel better",1,1,1,0,0,0
"7","subCA2_1",39,"positive","internal_global","0.0-2.0-0.14-0.14",16602,"html-button-response-ca",0,428836,"My colleagues respect my skill at work",FALSE,17,1,"You find out that you have been put forward for a leadership position at work",0,14,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","formal assessment (job)","non-social","You find out that you have been put forward for a leadership position at work",1,1,1,0,0,0
"8","subCA2_1",41,"negative","internal_specific","0.0-2.0-0.15-0.15",13639,"html-button-response-ca",0,443996,"I probably submitted my application incorrectly somehow",FALSE,18,3,"You submitted an application to join a local community forum but haven't heard anything back",0,15,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general functioning (everyday life: easier task)","getting along (semi-social)","You submited an application to join a local community forum but haven't heard anything back",1,0,0,1,0,0
"9","subCA2_1",43,"positive","internal_specific","0.0-2.0-0.16-0.16",15303,"html-button-response-ca",0,464531,"Recently, I have made an effort to be there for this particular friend",FALSE,20,0,"Someone you are close to has sent you a card thanking you for being there for them during a difficult time",0,16,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","close relationship","reaching out","Someone you are close to has sent you a card thanking you for being there for them during a difficult time",1,0,0,1,0,0
"10","subCA2_1",54,"positive","internal_specific","0.0-2.0-0.17-0.17",15296,"html-button-response-ca",0,481350,"On this particular occasion, I did a good job",FALSE,21,0,"You find out someone has contacted your employer to praise work you did for them",0,17,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general performance (job)","semi-social","You find out someone has contacted your employer to praise work you did for them",1,0,0,1,0,0
"11","subCA2_1",62,"positive","internal_specific","0.0-2.0-0.18-0.18",14850,"html-button-response-ca",0,497721,"I've been making a particular effort recently to spend time learning new things",FALSE,22,1,"You successfully practice saying some phrases of a new language you are trying to learn",0,18,"control",2762320,2096495.39999998,2389026.59999999,64,1,"no","general functioning (everyday life: harder task)","life activities","You practice saying some phrases of a new language you are trying to learn",1,0,0,1,0,0
"12","subCA2_1",68,"positive","internal_global","0.0-2.0-0.19-0.19",14783,"html-button-response-ca",0,514023,"I'm a trustworthy person",FALSE,23,0,"Someone you are close to tells you they trust you",0,19,"control",2762320,2096495.39999998,2389026.59999999,64,1,"yes","close relationship","personal qualities","Someone you are close to tells you they trust you",1,1,1,0,0,0
