"","uid","questionStage","answer","questionNo","question","taskNo"
"1","subREX_1","postBlock1",75,1,"During the last block, how much did you
FEEL PLEASED
when you collected the coins?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",0
"2","subREX_1","postBlock1",60,1,"During the last block, how much did you
FEEL PLEASED
when you collected the coins?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",1
"3","subREX_1","postBlock0",75,1,"During the last block, how much did you
FEEL PLEASED
when you collected the coins?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",0
"4","subREX_1","postBlock3",74,1,"During the last block, how much did you
FEEL PLEASED
when you collected the coins?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",0
"5","subREX_1","postBlock2",75,1,"During the last block, how much did you
FEEL PLEASED
when you collected the coins?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",0
"6","subREX_1","postBlock3",67,1,"During the last block, how much did you
FEEL PLEASED
when you collected the coins?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",1
"7","subREX_1","postBlock0",75,1,"During the last block, how much did you
FEEL PLEASED
when you collected the coins?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",1
"8","subREX_1","postBlock2",58,1,"During the last block, how much did you
FEEL PLEASED
when you collected the coins?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",1
"9","subREX_1","postBlock2",65,2,"During the last block, how much did you
FEEL A SENSE OF ACHIEVEMENT when you
sucessfully hit the required power level?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",0
"10","subREX_1","postBlock3",62,2,"During the last block, how much did you
FEEL A SENSE OF ACHIEVEMENT when you
sucessfully hit the required power level?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",1
"11","subREX_1","postBlock1",48,2,"During the last block, how much did you
FEEL A SENSE OF ACHIEVEMENT when you
sucessfully hit the required power level?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",1
"12","subREX_1","postBlock3",60,2,"During the last block, how much did you
FEEL A SENSE OF ACHIEVEMENT when you
sucessfully hit the required power level?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",0
"13","subREX_1","postBlock2",49,2,"During the last block, how much did you
FEEL A SENSE OF ACHIEVEMENT when you
sucessfully hit the required power level?


Please rate from 0 to 100 on the scale
below, where

  0 =             and            100 = 
 ""not at all""                    ""most possible"" ",1
