"","uid","block2answer","block0answer","block3answer","block1answer","interventionQuizAnswer","interventionReadingTime"
"1","subRE1_1",60,62,38,60,"C",18.0337166666667
"2","subRE1_2",77,54,63,74,"C",16.7648666666667
"3","subRE1_3",51,30,14,65,"C",17.3824333333333
"4","subRE1_4",84,18,75,80,"C",15.8904666666667
"5","subRE1_5",66,63,66,65,"C",48.8518
"6","subRE1_6",62,62,63,62,"C",19.5523666666667
"7","subRE1_7",61,60,62,60,"C",18.08145
"8","subRE1_8",52,50,57,50,"C",28.6237666666667
"9","subRE1_9",50,55,50,56,"C",25.8747166666667
"10","subRE1_10",48,54,50,48,"C",24.097
"11","subRE1_11",14,5,16,98,"C",20.0153166666667
"12","subRE1_12",67,65,69,65,"C",20.3504666666667
"13","subRE1_13",50,82,5,100,"C",15.277
"14","subRE1_14",66,90,13,95,"C",14.0815333333333
"15","subRE1_15",55,50,89,84,"C",16.6529166666667
"16","subRE1_16",52,50,55,48,"C",25.2636166666667
"17","subRE1_17",67,65,69,65,"C",36.4225833333333
"18","subRE1_18",62,60,63,61,"C",17.2403833333333
"19","subRE1_19",67,65,69,65,"C",20.1647333333333
"20","subRE1_20",22,12,24,98,"C",36.2998
"21","subRE1_21",67,65,69,65,"C",20.5679833333333
"22","subRE1_22",22,19,2,71,"C",23.9361166666667
"23","subRE1_23",67,65,69,65,"C",17.06045
"24","subRE1_24",67,65,69,30,"C",20.7977833333333
"25","subRE1_25",5,10,10,4,"C",18.2592
"26","subRE1_26",50,50,50,50,"C",35.7782333333333
"27","subRE1_27",67,65,69,54,"C",22.7704833333333
"28","subRE1_28",14,20,8,85,"C",18.87535
"29","subRE1_29",59,78,33,90,"C",19.5806166666667
"30","subRE1_30",100,97,8,99,"C",17.43035
"31","subRE1_31",58,65,58,50,"C",18.8924166666667
"32","subRE1_32",58,40,39,44,"C",22.1122666666667
"33","subRE1_33",20,100,1,7,"C",19.1115
"34","subRE1_34",60,55,59,58,"C",18.8434
"35","subRE1_35",67,60,69,63,"C",21.8769833333333
"36","subRE1_36",67,60,69,65,"C",38.8095
"37","subRE1_37",100,95,100,90,"C",17.45525
"38","subRE1_38",67,65,69,65,"C",26.2183
"39","subRE1_39",50,35,25,85,"C",20.1523833333333
"40","subRE1_40",76,90,79,58,"C",18.0446333333333
"41","subRE1_41",90,94,91,100,"C",26.5538
"42","subRE1_42",55,50,60,50,"C",23.2792166666667
"43","subRE1_43",55,52,58,55,"C",19.1876333333333
"44","subRE1_44",67,36,69,36,"C",16.1604666666667
"45","subRE1_45",55,30,34,35,"C",18.6858166666667
