"","uid","choice","trialReward1","trialEffortPropMax2","trialNo","trialEffort2","trialEffort1","trialEffortPropMax1","trialEndTime","pressCount","coinsRunningTotal","trialSuccess","effortTimeLimit","choiceRT","trialReward2","pressTimes","trialStartTime","condition","meanPressLag","studyStartTime","nTrials","ID","deltaReward","deltaEffort","effortChosen","effortUnchosen","deltaEffortSigned","higherEffChosen","highEffortOption","rewardChosen","rewardUnchosen","higherRewChosen","highRewardOption","taskNo","group","maxPressCount"
"1","subRE1_1","route 1",7,0.35,0,20,53,0.95,1139625,53,7,1,10000,1922,3,"see raw data",0,"planning",163.807692307692,"15:30:40",88,1,4,0.6,0.95,0.35,0.6,1,0.95,7,3,1,7,2,"planning",56
"2","subRE1_1","route 1",7,0.35,0,20,53,0.95,195579,53,7,1,10000,4906,3,"see raw data",174360,"baseline",171.264150943396,"15:30:40",88,1,4,0.6,0.95,0.35,0.6,1,0.95,7,3,1,7,1,"planning",56
"3","subRE1_1","route 1",7,0.75,1,42,53,0.95,1157511,53,14,1,10000,1858,4,"see raw data",1139625,"planning",177.692307692308,"15:30:40",88,1,3,0.2,0.95,0.75,0.2,1,0.95,7,4,1,7,2,"planning",56
"4","subRE1_1","route 1",7,0.75,1,42,53,0.95,214206,53,14,1,10000,2875,4,"see raw data",195579,"baseline",168.653846153846,"15:30:40",88,1,3,0.2,0.95,0.75,0.2,1,0.95,7,4,1,7,1,"planning",56
"5","subRE1_1","route 2",4,0.55,2,31,11,0.2,229360,32,20,1,10000,2766,6,"see raw data",214206,"baseline",176.903225806452,"15:30:40",88,1,2,0.35,0.55,0.2,0.35,1,0.55,6,4,1,6,1,"planning",56
"6","subRE1_1","route 2",4,0.55,2,31,11,0.2,1171598,31,20,1,10000,1895,6,"see raw data",1157511,"planning",174.709677419355,"15:30:40",88,1,2,0.35,0.55,0.2,0.35,1,0.55,6,4,1,6,2,"planning",56
"7","subRE1_1","route 1",5,0.2,3,11,42,0.75,1188267,42,25,1,10000,2002,4,"see raw data",1171598,"planning",187.975609756098,"15:30:40",88,1,1,0.55,0.75,0.2,0.55,1,0.75,5,4,1,5,2,"planning",56
"8","subRE1_1","route 2",5,0.2,3,11,42,0.75,244423,12,24,1,10000,4578,4,"see raw data",229360,"baseline",174.636363636364,"15:30:40",88,1,1,0.55,0.2,0.75,-0.55,0,0.75,4,5,0,5,1,"planning",56
"9","subRE1_1","route 2",5,0.95,4,53,42,0.75,263106,54,31,1,10000,2545,7,"see raw data",244423,"baseline",173.660377358491,"15:30:40",88,1,2,0.2,0.95,0.75,0.2,1,0.95,7,5,1,7,1,"planning",56
"10","subRE1_1","route 1",5,0.95,4,53,42,0.75,1212382,42,30,1,10000,9737,7,"see raw data",1188267,"planning",180.365853658537,"15:30:40",88,1,2,0.2,0.75,0.95,-0.2,0,0.95,5,7,0,7,2,"planning",56
"11","subRE1_1","route 1",6,0.55,5,31,53,0.95,1232319,54,36,1,10000,3781,3,"see raw data",1212382,"planning",174.207547169811,"15:30:40",88,1,3,0.4,0.95,0.55,0.4,1,0.95,6,3,1,6,2,"planning",56
"12","subRE1_1","route 1",6,0.55,5,31,53,0.95,282956,53,37,1,10000,3872,3,"see raw data",263106,"baseline",174.519230769231,"15:30:40",88,1,3,0.4,0.95,0.55,0.4,1,0.95,6,3,1,6,1,"planning",56
"13","subRE1_1","route 2",4,0.75,6,42,31,0.55,1250770,42,42,1,10000,4280,6,"see raw data",1232319,"planning",176.682926829268,"15:30:40",88,1,2,0.2,0.75,0.55,0.2,1,0.75,6,4,1,6,2,"planning",56
"14","subRE1_1","route 2",4,0.75,6,42,31,0.55,301861,42,43,1,10000,4348,6,"see raw data",282956,"baseline",182.333333333333,"15:30:40",88,1,2,0.2,0.75,0.55,0.2,1,0.75,6,4,1,6,1,"planning",56
"15","subRE1_1","route 2",3,0.95,7,53,11,0.2,1269163,54,48,1,10000,2204,6,"see raw data",1250770,"planning",176.301886792453,"15:30:40",88,1,3,0.75,0.95,0.2,0.75,1,0.95,6,3,1,6,2,"planning",56
"16","subRE1_1","route 2",3,0.95,7,53,11,0.2,320531,54,49,1,10000,2519,6,"see raw data",301861,"baseline",175.396226415094,"15:30:40",88,1,3,0.75,0.95,0.2,0.75,1,0.95,6,3,1,6,1,"planning",56
"17","subRE1_1","route 2",4,0.35,8,20,11,0.2,1280954,20,53,1,10000,1824,5,"see raw data",1269163,"planning",162.789473684211,"15:30:40",88,1,1,0.15,0.35,0.2,0.15,1,0.35,5,4,1,5,2,"planning",56
"18","subRE1_1","route 2",4,0.35,8,20,11,0.2,350725,20,54,1,10000,19813,5,"see raw data",320531,"baseline",174.736842105263,"15:30:40",88,1,1,0.15,0.35,0.2,0.15,1,0.35,5,4,1,5,1,"planning",56
"19","subRE1_1","route 1",6,0.35,9,20,53,0.95,1299430,54,59,1,10000,2642,3,"see raw data",1280954,"planning",170.11320754717,"15:30:40",88,1,3,0.6,0.95,0.35,0.6,1,0.95,6,3,1,6,2,"planning",56
"20","subRE1_1","route 1",6,0.35,9,20,53,0.95,368954,53,60,1,10000,1920,3,"see raw data",350725,"baseline",181.584905660377,"15:30:40",88,1,3,0.6,0.95,0.35,0.6,1,0.95,6,3,1,6,1,"planning",56
"21","subRE1_1","route 1",4,0.2,10,11,20,0.35,1313907,20,63,1,10000,4305,3,"see raw data",1299430,"planning",169.5,"15:30:40",88,1,1,0.15,0.35,0.2,0.15,1,0.35,4,3,1,4,2,"planning",56
"22","subRE1_1","route 1",4,0.2,10,11,20,0.35,380688,20,64,1,10000,1531,3,"see raw data",368954,"baseline",176.315789473684,"15:30:40",88,1,1,0.15,0.35,0.2,0.15,1,0.35,4,3,1,4,1,"planning",56
"23","subRE1_1","route 2",5,0.75,11,42,31,0.55,428454,42,7,1,10000,2672,7,"see raw data",411188,"baseline",178.190476190476,"15:30:40",88,1,2,0.2,0.75,0.55,0.2,1,0.75,7,5,1,7,1,"planning",56
"24","subRE1_1","route 2",5,0.75,11,42,31,0.55,1355329,43,7,1,10000,3171,7,"see raw data",1337973,"planning",175.071428571429,"15:30:40",88,1,2,0.2,0.75,0.55,0.2,1,0.75,7,5,1,7,2,"planning",56
"25","subRE1_1","route 2",4,0.75,12,42,11,0.2,444314,42,13,1,10000,1468,6,"see raw data",428454,"baseline",180.073170731707,"15:30:40",88,1,2,0.55,0.75,0.2,0.55,1,0.75,6,4,1,6,1,"planning",56
