"","uid","choiceRT","trialEndTime","effortTimeLimit","trialEffortPropMax1","trialReward2","pressTimes","trialReward1","trialNo","trialEffortPropMax2","coinsRunningTotal","trialEffort2","trialSuccess","trialStartTime","condition","pressCount","choice","trialEffort1","meanPressLag","studyStartTime","nTrials","ID","deltaReward","deltaEffort","effortChosen","effortUnchosen","deltaEffortSigned","higherEffChosen","highEffortOption","rewardChosen","rewardUnchosen","higherRewChosen","highRewardOption","taskNo","group","maxPressCount"
"1","subRE2_1",2150,1209604,10000,0.95,3,"see raw data",7,0,0.35,7,22,1,0,"control",60,"route 1",60,143.254237288136,"11:30:00",88,1,4,0.6,0.95,0.35,0.6,1,0.95,7,3,1,7,2,"control",63
"2","subRE2_1",5667,323951,10000,0.95,3,"see raw data",7,0,0.35,7,22,1,303150,"baseline",60,"route 1",60,134.716666666667,"11:30:00",88,1,4,0.6,0.95,0.35,0.6,1,0.95,7,3,1,7,1,"control",63
"3","subRE2_1",3918,343421,10000,0.95,4,"see raw data",7,1,0.75,14,47,1,323951,"baseline",61,"route 1",60,143.35,"11:30:00",88,1,3,0.2,0.95,0.75,0.2,1,0.95,7,4,1,7,1,"control",63
"4","subRE2_1",1900,1227057,10000,0.95,4,"see raw data",7,1,0.75,14,47,1,1209604,"control",60,"route 1",60,144.084745762712,"11:30:00",88,1,3,0.2,0.95,0.75,0.2,1,0.95,7,4,1,7,2,"control",63
"5","subRE2_1",3016,358623,10000,0.2,6,"see raw data",4,2,0.55,20,35,1,343421,"baseline",35,"route 2",13,146.2,"11:30:00",88,1,2,0.35,0.55,0.2,0.35,1,0.55,6,4,1,6,1,"control",63
"6","subRE2_1",2317,1241543,10000,0.2,6,"see raw data",4,2,0.55,20,35,1,1227057,"control",36,"route 2",13,145.861111111111,"11:30:00",88,1,2,0.35,0.55,0.2,0.35,1,0.55,6,4,1,6,2,"control",63
"7","subRE2_1",2167,1257878,10000,0.75,4,"see raw data",5,3,0.2,25,13,1,1241543,"control",48,"route 1",47,150.723404255319,"11:30:00",88,1,1,0.55,0.75,0.2,0.55,1,0.75,5,4,1,5,2,"control",63
"8","subRE2_1",4401,376775,10000,0.75,4,"see raw data",5,3,0.2,25,13,1,358623,"baseline",48,"route 1",47,141.872340425532,"11:30:00",88,1,1,0.55,0.75,0.2,0.55,1,0.75,5,4,1,5,1,"control",63
"9","subRE2_1",1917,1275548,10000,0.75,7,"see raw data",5,4,0.95,32,60,1,1257878,"control",61,"route 2",47,146.966666666667,"11:30:00",88,1,2,0.2,0.95,0.75,0.2,1,0.95,7,5,1,7,2,"control",63
"10","subRE2_1",2517,394846,10000,0.75,7,"see raw data",5,4,0.95,32,60,1,376775,"baseline",60,"route 2",47,140.283333333333,"11:30:00",88,1,2,0.2,0.95,0.75,0.2,1,0.95,7,5,1,7,1,"control",63
"11","subRE2_1",2701,413315,10000,0.95,3,"see raw data",6,5,0.55,38,35,1,394846,"baseline",61,"route 1",60,144.55737704918,"11:30:00",88,1,3,0.4,0.95,0.55,0.4,1,0.95,6,3,1,6,1,"control",63
"12","subRE2_1",1584,1292884,10000,0.95,3,"see raw data",6,5,0.55,38,35,1,1275548,"control",60,"route 1",60,147.516666666667,"11:30:00",88,1,3,0.4,0.95,0.55,0.4,1,0.95,6,3,1,6,2,"control",63
"13","subRE2_1",3183,430435,10000,0.55,6,"see raw data",4,6,0.75,44,47,1,413315,"baseline",48,"route 2",35,147.893617021277,"11:30:00",88,1,2,0.2,0.75,0.55,0.2,1,0.75,6,4,1,6,1,"control",63
"14","subRE2_1",1650,1308470,10000,0.55,6,"see raw data",4,6,0.75,44,47,1,1292884,"control",48,"route 2",35,148.957446808511,"11:30:00",88,1,2,0.2,0.75,0.55,0.2,1,0.75,6,4,1,6,2,"control",63
"15","subRE2_1",2650,448605,10000,0.2,6,"see raw data",3,7,0.95,50,60,1,430435,"baseline",60,"route 2",13,143.508474576271,"11:30:00",88,1,3,0.75,0.95,0.2,0.75,1,0.95,6,3,1,6,1,"control",63
"16","subRE2_1",1667,1326306,10000,0.2,6,"see raw data",3,7,0.95,50,60,1,1308470,"control",61,"route 2",13,153.295081967213,"11:30:00",88,1,3,0.75,0.95,0.2,0.75,1,0.95,6,3,1,6,2,"control",63
"17","subRE2_1",1867,1338724,10000,0.2,5,"see raw data",4,8,0.35,55,22,1,1326306,"control",23,"route 2",13,160.636363636364,"11:30:00",88,1,1,0.15,0.35,0.2,0.15,1,0.35,5,4,1,5,2,"control",63
"18","subRE2_1",2900,461856,10000,0.2,5,"see raw data",4,8,0.35,55,22,1,448605,"baseline",22,"route 2",13,153.045454545455,"11:30:00",88,1,1,0.15,0.35,0.2,0.15,1,0.35,5,4,1,5,1,"control",63
"19","subRE2_1",2467,479725,10000,0.95,3,"see raw data",6,9,0.35,61,22,1,461856,"baseline",60,"route 1",60,140.283333333333,"11:30:00",88,1,3,0.6,0.95,0.35,0.6,1,0.95,6,3,1,6,1,"control",63
"20","subRE2_1",1950,1356627,10000,0.95,3,"see raw data",6,9,0.35,61,22,1,1338724,"control",60,"route 1",60,149.816666666667,"11:30:00",88,1,3,0.6,0.95,0.35,0.6,1,0.95,6,3,1,6,2,"control",63
"21","subRE2_1",2117,1369696,10000,0.35,3,"see raw data",4,10,0.2,65,13,1,1356627,"control",23,"route 1",22,178.260869565217,"11:30:00",88,1,1,0.15,0.35,0.2,0.15,1,0.35,4,3,1,4,2,"control",63
"22","subRE2_1",2367,492644,10000,0.35,3,"see raw data",4,10,0.2,65,13,1,479725,"baseline",23,"route 1",22,160.636363636364,"11:30:00",88,1,1,0.15,0.35,0.2,0.15,1,0.35,4,3,1,4,1,"control",63
"23","subRE2_1",2367,536567,10000,0.55,7,"see raw data",5,11,0.75,7,47,1,520264,"baseline",48,"route 2",35,146.468085106383,"11:30:00",88,1,2,0.2,0.75,0.55,0.2,1,0.75,7,5,1,7,1,"control",63
"24","subRE2_1",11852,1428671,10000,0.55,7,"see raw data",5,11,0.75,7,47,1,1402251,"control",48,"route 2",35,158.531914893617,"11:30:00",88,1,2,0.2,0.75,0.55,0.2,1,0.75,7,5,1,7,2,"control",63
"25","subRE2_1",2200,552753,10000,0.2,6,"see raw data",4,12,0.75,13,47,1,536567,"baseline",48,"route 2",13,147.893617021277,"11:30:00",88,1,2,0.55,0.75,0.2,0.55,1,0.75,6,4,1,6,1,"control",63
"26","subRE2_1",1733,1444541,10000,0.2,6,"see raw data",4,12,0.75,13,47,1,1428671,"control",48,"route 2",13,152.148936170213,"11:30:00",88,1,2,0.55,0.75,0.2,0.55,1,0.75,6,4,1,6,2,"control",63
"27","subRE2_1",2301,570589,10000,0.35,5,"see raw data",3,13,0.95,18,60,1,552753,"baseline",61,"route 2",22,141.966666666667,"11:30:00",88,1,2,0.6,0.95,0.35,0.6,1,0.95,5,3,1,5,1,"control",63
"28","subRE2_1",1634,1461910,10000,0.35,5,"see raw data",3,13,0.95,18,60,1,1444541,"control",60,"route 2",22,147.533333333333,"11:30:00",88,1,2,0.6,0.95,0.35,0.6,1,0.95,5,3,1,5,2,"control",63
"29","subRE2_1",1867,1472928,10000,0.95,8,"see raw data",1,14,0.2,26,13,1,1461910,"control",13,"route 2",60,159,"11:30:00",88,1,7,0.75,0.2,0.95,-0.75,0,0.95,8,1,1,8,2,"control",63
"30","subRE2_1",3750,583508,10000,0.95,8,"see raw data",1,14,0.2,26,13,1,570589,"baseline",14,"route 2",60,155.928571428571,"11:30:00",88,1,7,0.75,0.2,0.95,-0.75,0,0.95,8,1,1,8,1,"control",63
"31","subRE2_1",1950,1488865,10000,0.75,3,"see raw data",4,15,0.35,30,22,1,1472928,"control",48,"route 1",47,147.170212765957,"11:30:00",88,1,1,0.4,0.75,0.35,0.4,1,0.75,4,3,1,4,2,"control",63
